Billing account name,Billing account ID,Project name,Project ID,Project hierarchy,Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Usage start date,Usage end date,Rate,Amount
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Licensing Fee for SQL Server 2017 Standard on VM with more than 4 VCPU,7A12-F666-3E4F,"11,885.28",hour,1-Jan-24,31-Jan-24,0.12,1426.2
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,SSD backed PD Capacity in Mumbai,FF66-41CB-DE90,"6,969.91",gibibyte month,1-Jan-24,31-Jan-24,0.204,1421.9
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Licensing Fee for Windows Server 2016 Datacenter Edition (CPU cost),00B2-37B0-B8BB,"23,807.71",hour,1-Jan-24,31-Jan-24,0.046,1095.2
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Balanced PD Capacity in Mumbai,C24C-88D9-75ED,"6,496.05",gibibyte month,1-Jan-24,31-Jan-24,0.12,779.5
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,N2 Instance Ram running in Mumbai,23FA-BF9A-7C7A,"142,623.41",gibibyte hour,1-Jan-24,31-Jan-24,0.005088,725.7
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,N2 Instance Core running in Mumbai,3A1A-7CFC-5747,"17,827.93",hour,1-Jan-24,31-Jan-24,0.03797,676.9
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,E2 Instance Core running in Mumbai,DFC1-04D4-B4A1,"22,656.03",hour,1-Jan-24,31-Jan-24,0.0261993,593.6
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Licensing Fee for SQL Server 2017 Standard on VM with 1 to 4 VCPU,C104-DF70-1168,743.926,hour,1-Jan-24,31-Jan-24,0.48,357.1
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Cloud Storage,95FF-2EF5-5EA1,Nearline Storage Mumbai,FD55-A8ED-B1A6,"21,753.24",gibibyte month,1-Jan-24,31-Jan-24,0.016,348.1
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,E2 Instance Ram running in Mumbai,90AB-A7A8-F873,"108,452.63",gibibyte hour,1-Jan-24,31-Jan-24,0.00351072,380.7
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Networking,E505-1604-58F8,Networking Cloud VPN Tunnel Asiasouth1,930D-66FD-C691,"5,950.21",hour,1-Jan-24,31-Jan-24,0.05,297.5
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Custom Instance Core running in Mumbai,9544-CFBE-3F3F,"5,942.64",hour,1-Jan-24,31-Jan-24,0.0398685,236.9
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Storage PD Snapshot in Delhi,246B-6075-A49D,"4,872.81",gibibyte month,1-Jan-24,31-Jan-24,0.06,292.4
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Cloud Monitoring,58CD-E7C3-72CA,Metric Volume,A924-09D0-8854,585.407,mebibyte,1-Jan-24,31-Jan-24,0.258,151.0
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,PD snapshot Data Transfer Out within Asia,B5A2-9FBC-320A,"13,339.04",gibibyte,1-Jan-24,31-Jan-24,0.08,1067.1
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Storage Machine Image in Mumbai,FB14-5D66-522F,"1,583.52",gibibyte month,1-Jan-24,31-Jan-24,0.06,95.0
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Custom Instance Ram running in Mumbai,1FD0-7EA0-91ED,"20,799.25",gibibyte hour,1-Jan-24,31-Jan-24,0.0053424,111.1
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Storage Machine Image in Asia,94B7-C7FA-15DA,"1,528.73",gibibyte month,1-Jan-24,31-Jan-24,0.05,76.4
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Networking,E505-1604-58F8,Regional Internal Application Load Balancer Proxy Instance Charge for Mumbai (asia-south1),18D4-D9C3-4331,"2,228",hour,1-Jan-24,31-Jan-24,0.025,55.7
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Cloud Interconnect - 50Mbps VLAN attachment via Google partner,E4A6-C099-9380,742.83,hour,1-Jan-24,31-Jan-24,0.05417,40.2
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Storage PD Capacity in Mumbai,320C-7688-1A62,709.787,gibibyte month,1-Jan-24,31-Jan-24,0.048,34.1
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Network Inter Zone Data Transfer Out,DE9E-AFBC-A15A,"3,236.76",gibibyte,1-Jan-24,31-Jan-24,0.01,32.4
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Storage Image in Mumbai,3C39-B650-9ECC,473.364,gibibyte month,1-Jan-24,31-Jan-24,0.06,28.4
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Cloud Storage,95FF-2EF5-5EA1,Standard Storage Mumbai,2717-BEFE-3773,"1,194.93",gibibyte month,1-Jan-24,31-Jan-24,0.023,27.5
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Minimum for Mumbai (asia-south1),7386-1FD9-A800,742.83,hour,1-Jan-24,31-Jan-24,0.03,22.3
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Minimum Global,DEE3-C42E-3E4D,742.83,hour,1-Jan-24,31-Jan-24,0.025,18.6
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Static Ip Charge in Mumbai,1268-F71A-6285,"1,485.66",hour,1-Jan-24,31-Jan-24,0.012,17.8
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Networking,E505-1604-58F8,Networking Cloud Nat Gateway Uptime,32E2-4EFC-EF9F,"8,916.01",hour,1-Jan-24,31-Jan-24,0.0014,12.5
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Additional Global,1211-928B-AF92,742.83,hour,1-Jan-24,31-Jan-24,0.01,7.4
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Static Ip Charge,66A2-68EA-56BE,742.83,hour,1-Jan-24,31-Jan-24,0.01,7.4
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Mumbai to APAC,4F52-58E2-DAD9,28.144,gibibyte,1-Jan-24,31-Jan-24,0.12,3.4
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,External IP Charge on a Standard VM,C054-7F72-A02E,742.83,hour,1-Jan-24,31-Jan-24,0.005,3.7
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Networking,E505-1604-58F8,Networking Cloud Nat Data Processing,015F-5732-FFF0,35.251,gibibyte,1-Jan-24,31-Jan-24,0.045,1.6
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Mumbai to Americas,1507-FFFF-0D8E,9.054,gibibyte,1-Jan-24,31-Jan-24,0.12,1.1
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Storage Image,DAA2-253C-6680,8.084,gibibyte month,1-Jan-24,31-Jan-24,0.05,0.4
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Cloud Interconnect - Data Transfer Asia Pacific,02FC-C3E4-9A75,6.987,gibibyte,1-Jan-24,31-Jan-24,0.042,0.3
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Mumbai (asia-south1),91F1-423B-CF42,23.474,gibibyte,1-Jan-24,31-Jan-24,0.01,0.2
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Cloud Scheduler,1F14-4801-0E16,Jobs,A5D6-43A2-28A7,62,count,1-Jan-24,31-Jan-24,0.1,6.2
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Network Vpn Internet Data Transfer Out from Mumbai to APAC,C4D8-B983-FE40,0.99,gibibyte,1-Jan-24,31-Jan-24,0.12,0.1
PVR - Searce,013D8E-95CC18-2E46E8,PVR-Limited ,pvr-limited-283410,PVRCINEMAS.COM/Folder/PVR-Limited,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Mumbai to Americas,854C-EE0C-E780,1.265,gibibyte,1-Jan-24,31-Jan-24,0.08,0.1
